timeNs,timeSeconds,candidateId,sourceVehicleId,executionNodeId,type,availableCpu,cpuSource,propagationDelaySeconds
86000000000,86,local_for_veh_2,veh_2,veh_2,LOCAL,4000000000,DIAGNOSTIC_SYNTHETIC_VALUE,0
86000000000,86,local_for_veh_3,veh_3,veh_3,LOCAL,4000000000,DIAGNOSTIC_SYNTHETIC_VALUE,0
86000000000,86,local_for_veh_4,veh_4,veh_4,LOCAL,4000000000,DIAGNOSTIC_SYNTHETIC_VALUE,0
86000000000,86,local_for_veh_5,veh_5,veh_5,LOCAL,4000000000,DIAGNOSTIC_SYNTHETIC_VALUE,0
86000000000,86,local_for_veh_6,veh_6,veh_6,LOCAL,4000000000,DIAGNOSTIC_SYNTHETIC_VALUE,0
86000000000,86,local_for_veh_7,veh_7,veh_7,LOCAL,4000000000,DIAGNOSTIC_SYNTHETIC_VALUE,0
86000000000,86,local_for_veh_8,veh_8,veh_8,LOCAL,4000000000,DIAGNOSTIC_SYNTHETIC_VALUE,0
86000000000,86,local_for_veh_9,veh_9,veh_9,LOCAL,4000000000,DIAGNOSTIC_SYNTHETIC_VALUE,0
86000000000,86,local_for_veh_10,veh_10,veh_10,LOCAL,4000000000,DIAGNOSTIC_SYNTHETIC_VALUE,0
86000000000,86,local_for_veh_11,veh_11,veh_11,LOCAL,4000000000,DIAGNOSTIC_SYNTHETIC_VALUE,0
87000000000,87,local_for_veh_0,veh_0,veh_0,LOCAL,4000000000,DIAGNOSTIC_SYNTHETIC_VALUE,0
87000000000,87,local_for_veh_1,veh_1,veh_1,LOCAL,4000000000,DIAGNOSTIC_SYNTHETIC_VALUE,0
87000000000,87,local_for_veh_2,veh_2,veh_2,LOCAL,4000000000,DIAGNOSTIC_SYNTHETIC_VALUE,0
87000000000,87,local_for_veh_3,veh_3,veh_3,LOCAL,4000000000,DIAGNOSTIC_SYNTHETIC_VALUE,0
87000000000,87,local_for_veh_4,veh_4,veh_4,LOCAL,4000000000,DIAGNOSTIC_SYNTHETIC_VALUE,0
