timeNs,timeSeconds,candidateId,sourceVehicleId,targetVehicleId,executionNodeId,type,availableCpu,distanceMeters,singlehopRadiusMeters,propagationDelaySeconds,bandwidthPoolId,availableBandwidth,bandwidthSource,radioStateSource,candidatePolicy,distancePolicy,propagationDelayPolicy
17000000000,17,vehicle_veh_1_v2v_for_veh_2,veh_2,veh_1,veh_1,VEHICLE,4000000000,141.177103,709.4,0.0024,pool_v2v_veh_1_veh_2,10000000,DIAGNOSTIC_SYNTHETIC_VALUE,ADHOC_CONFIGURATION,DIRECT_SINGLEHOP_ONLY,HAVERSINE_FROM_LAT_LON_DIAGNOSTIC,SNS_SINGLEHOP_MAX_DELAY
18000000000,18,vehicle_veh_1_v2v_for_veh_0,veh_0,veh_1,veh_1,VEHICLE,4000000000,143.585825,709.4,0.0024,pool_v2v_veh_0_veh_1,10000000,DIAGNOSTIC_SYNTHETIC_VALUE,ADHOC_CONFIGURATION,DIRECT_SINGLEHOP_ONLY,HAVERSINE_FROM_LAT_LON_DIAGNOSTIC,SNS_SINGLEHOP_MAX_DELAY
18000000000,18,vehicle_veh_2_v2v_for_veh_0,veh_0,veh_2,veh_2,VEHICLE,4000000000,284.989329,709.4,0.0024,pool_v2v_veh_0_veh_2,10000000,DIAGNOSTIC_SYNTHETIC_VALUE,ADHOC_CONFIGURATION,DIRECT_SINGLEHOP_ONLY,HAVERSINE_FROM_LAT_LON_DIAGNOSTIC,SNS_SINGLEHOP_MAX_DELAY
18000000000,18,vehicle_veh_0_v2v_for_veh_1,veh_1,veh_0,veh_0,VEHICLE,4000000000,143.585825,709.4,0.0024,pool_v2v_veh_0_veh_1,10000000,DIAGNOSTIC_SYNTHETIC_VALUE,ADHOC_CONFIGURATION,DIRECT_SINGLEHOP_ONLY,HAVERSINE_FROM_LAT_LON_DIAGNOSTIC,SNS_SINGLEHOP_MAX_DELAY
18000000000,18,vehicle_veh_2_v2v_for_veh_1,veh_1,veh_2,veh_2,VEHICLE,4000000000,141.491007,709.4,0.0024,pool_v2v_veh_1_veh_2,10000000,DIAGNOSTIC_SYNTHETIC_VALUE,ADHOC_CONFIGURATION,DIRECT_SINGLEHOP_ONLY,HAVERSINE_FROM_LAT_LON_DIAGNOSTIC,SNS_SINGLEHOP_MAX_DELAY
18000000000,18,vehicle_veh_0_v2v_for_veh_2,veh_2,veh_0,veh_0,VEHICLE,4000000000,284.989329,709.4,0.0024,pool_v2v_veh_0_veh_2,10000000,DIAGNOSTIC_SYNTHETIC_VALUE,ADHOC_CONFIGURATION,DIRECT_SINGLEHOP_ONLY,HAVERSINE_FROM_LAT_LON_DIAGNOSTIC,SNS_SINGLEHOP_MAX_DELAY
18000000000,18,vehicle_veh_1_v2v_for_veh_2,veh_2,veh_1,veh_1,VEHICLE,4000000000,141.491007,709.4,0.0024,pool_v2v_veh_1_veh_2,10000000,DIAGNOSTIC_SYNTHETIC_VALUE,ADHOC_CONFIGURATION,DIRECT_SINGLEHOP_ONLY,HAVERSINE_FROM_LAT_LON_DIAGNOSTIC,SNS_SINGLEHOP_MAX_DELAY
19000000000,19,vehicle_veh_1_v2v_for_veh_0,veh_0,veh_1,veh_1,VEHICLE,4000000000,143.462198,709.4,0.0024,pool_v2v_veh_0_veh_1,10000000,DIAGNOSTIC_SYNTHETIC_VALUE,ADHOC_CONFIGURATION,DIRECT_SINGLEHOP_ONLY,HAVERSINE_FROM_LAT_LON_DIAGNOSTIC,SNS_SINGLEHOP_MAX_DELAY
19000000000,19,vehicle_veh_2_v2v_for_veh_0,veh_0,veh_2,veh_2,VEHICLE,4000000000,284.743859,709.4,0.0024,pool_v2v_veh_0_veh_2,10000000,DIAGNOSTIC_SYNTHETIC_VALUE,ADHOC_CONFIGURATION,DIRECT_SINGLEHOP_ONLY,HAVERSINE_FROM_LAT_LON_DIAGNOSTIC,SNS_SINGLEHOP_MAX_DELAY
19000000000,19,vehicle_veh_3_v2v_for_veh_0,veh_0,veh_3,veh_3,VEHICLE,4000000000,426.923628,709.4,0.0024,pool_v2v_veh_0_veh_3,10000000,DIAGNOSTIC_SYNTHETIC_VALUE,ADHOC_CONFIGURATION,DIRECT_SINGLEHOP_ONLY,HAVERSINE_FROM_LAT_LON_DIAGNOSTIC,SNS_SINGLEHOP_MAX_DELAY
